Effect date,Curreny pair,Swap long,Swap short
2020/8/5,USDJPY.hd01,-50,-110
2020/8/5,EURJPY.hd01,-40,-80
2020/8/5,GBPJPY.hd01,-80,-110
2020/8/5,AUDJPY.hd01,-30,-160
2020/8/5,NZDJPY.hd01,-40,-130
2020/8/5,ZARJPY.hd01,10,140
2020/8/5,CADJPY.hd01,10,130
2020/8/5,CHFJPY.hd01,20,140
2020/8/5,HKDJPY.hd01,20,140
2020/8/5,SGDJPY.hd01,-50,-110
2020/8/5,MXNJPY.hd01,-70,-130
2020/8/5,CNHJPY.hd01,60,90
2020/8/5,EURUSD.hd01,70,-160
2020/8/5,GBPUSD.hd01,-40,-80
2020/8/5,AUDUSD.hd01,-70,-110
2020/8/5,NZDUSD.hd01,-40,-80
2020/8/5,USDCHF.hd01,-80,-130
2020/8/5,EURCHF.hd01,-40,-90
2020/8/5,GBPCHF.hd01,-80,-110
2020/8/5,TRYJPY.hd01,-50,-110
