Effect date,Curreny pair,Swap long,Swap short
2020/8/8,USDJPY.hd01,-47,-107
2020/8/8,EURJPY.hd01,-37,-77
2020/8/8,GBPJPY.hd01,-77,-107
2020/8/8,AUDJPY.hd01,-27,-157
2020/8/8,NZDJPY.hd01,-37,-127
2020/8/8,ZARJPY.hd01,13,143
2020/8/8,CADJPY.hd01,13,133
2020/8/8,CHFJPY.hd01,23,143
2020/8/8,HKDJPY.hd01,23,143
2020/8/8,SGDJPY.hd01,-47,-107
2020/8/8,MXNJPY.hd01,-67,-127
2020/8/8,CNHJPY.hd01,63,93
2020/8/8,EURUSD.hd01,73,-157
2020/8/8,GBPUSD.hd01,-37,-77
2020/8/8,AUDUSD.hd01,-67,-107
2020/8/8,NZDUSD.hd01,-37,-77
2020/8/8,USDCHF.hd01,-77,-127
2020/8/8,EURCHF.hd01,-37,-87
2020/8/8,GBPCHF.hd01,-77,-107
2020/8/8,TRYJPY.hd01,-47,-107
