Effect date,Curreny pair,Swap long,Swap short
2020/8/7,USDJPY.hd01,-48,-108
2020/8/7,EURJPY.hd01,-38,-78
2020/8/7,GBPJPY.hd01,-78,-108
2020/8/7,AUDJPY.hd01,-28,-158
2020/8/7,NZDJPY.hd01,-38,-128
2020/8/7,ZARJPY.hd01,12,142
2020/8/7,CADJPY.hd01,12,132
2020/8/7,CHFJPY.hd01,22,142
2020/8/7,HKDJPY.hd01,22,142
2020/8/7,SGDJPY.hd01,-48,-108
2020/8/7,MXNJPY.hd01,-68,-128
2020/8/7,CNHJPY.hd01,62,92
2020/8/7,EURUSD.hd01,72,-158
2020/8/7,GBPUSD.hd01,-38,-78
2020/8/7,AUDUSD.hd01,-68,-108
2020/8/7,NZDUSD.hd01,-38,-78
2020/8/7,USDCHF.hd01,-78,-128
2020/8/7,EURCHF.hd01,-38,-88
2020/8/7,GBPCHF.hd01,-78,-108
2020/8/7,TRYJPY.hd01,-48,-108
