Effect date,Curreny pair,Swap long,Swap short
2020/8/6,USDJPY.hd01,-49,-109
2020/8/6,EURJPY.hd01,-39,-79
2020/8/6,GBPJPY.hd01,-79,-109
2020/8/6,AUDJPY.hd01,-29,-159
2020/8/6,NZDJPY.hd01,-39,-129
2020/8/6,ZARJPY.hd01,11,141
2020/8/6,CADJPY.hd01,11,131
2020/8/6,CHFJPY.hd01,21,141
2020/8/6,HKDJPY.hd01,21,141
2020/8/6,SGDJPY.hd01,-49,-109
2020/8/6,MXNJPY.hd01,-69,-129
2020/8/6,CNHJPY.hd01,61,91
2020/8/6,EURUSD.hd01,71,-159
2020/8/6,GBPUSD.hd01,-39,-79
2020/8/6,AUDUSD.hd01,-69,-109
2020/8/6,NZDUSD.hd01,-39,-79
2020/8/6,USDCHF.hd01,-79,-129
2020/8/6,EURCHF.hd01,-39,-89
2020/8/6,GBPCHF.hd01,-79,-109
2020/8/6,TRYJPY.hd01,-49,-109
