Effect date,Curreny pair,Swap long,Swap short
2020/8/13,USDJPY.hd01,-42,-102
2020/8/13,EURJPY.hd01,-32,-72
2020/8/13,GBPJPY.hd01,-72,-102
2020/8/13,AUDJPY.hd01,-22,-152
2020/8/13,NZDJPY.hd01,-32,-122
2020/8/13,ZARJPY.hd01,18,148
2020/8/13,CADJPY.hd01,18,138
2020/8/13,CHFJPY.hd01,28,148
2020/8/13,HKDJPY.hd01,28,148
2020/8/13,SGDJPY.hd01,-42,-102
2020/8/13,MXNJPY.hd01,-62,-122
2020/8/13,CNHJPY.hd01,68,98
2020/8/13,EURUSD.hd01,78,-152
2020/8/13,GBPUSD.hd01,-32,-72
2020/8/13,AUDUSD.hd01,-62,-102
2020/8/13,NZDUSD.hd01,-32,-72
2020/8/13,USDCHF.hd01,-72,-122
2020/8/13,EURCHF.hd01,-32,-82
2020/8/13,GBPCHF.hd01,-72,-102
2020/8/13,TRYJPY.hd01,-42,-102
