Effect date,Curreny pair,Swap long,Swap short
2020/8/14,USDJPY.hd01,-41,-101
2020/8/14,EURJPY.hd01,-31,-71
2020/8/14,GBPJPY.hd01,-71,-101
2020/8/14,AUDJPY.hd01,-21,-151
2020/8/14,NZDJPY.hd01,-31,-121
2020/8/14,ZARJPY.hd01,19,149
2020/8/14,CADJPY.hd01,19,139
2020/8/14,CHFJPY.hd01,29,149
2020/8/14,HKDJPY.hd01,29,149
2020/8/14,SGDJPY.hd01,-41,-101
2020/8/14,MXNJPY.hd01,-61,-121
2020/8/14,CNHJPY.hd01,69,99
2020/8/14,EURUSD.hd01,79,-151
2020/8/14,GBPUSD.hd01,-31,-71
2020/8/14,AUDUSD.hd01,-61,-101
2020/8/14,NZDUSD.hd01,-31,-71
2020/8/14,USDCHF.hd01,-71,-121
2020/8/14,EURCHF.hd01,-31,-81
2020/8/14,GBPCHF.hd01,-71,-101
2020/8/14,TRYJPY.hd01,-41,-101
