Effect date,Curreny pair,Swap long,Swap short
2020/8/12,USDJPY.hd01,-43,-103
2020/8/12,EURJPY.hd01,-33,-73
2020/8/12,GBPJPY.hd01,-73,-103
2020/8/12,AUDJPY.hd01,-23,-153
2020/8/12,NZDJPY.hd01,-33,-123
2020/8/12,ZARJPY.hd01,17,147
2020/8/12,CADJPY.hd01,17,137
2020/8/12,CHFJPY.hd01,27,147
2020/8/12,HKDJPY.hd01,27,147
2020/8/12,SGDJPY.hd01,-43,-103
2020/8/12,MXNJPY.hd01,-63,-123
2020/8/12,CNHJPY.hd01,67,97
2020/8/12,EURUSD.hd01,77,-153
2020/8/12,GBPUSD.hd01,-33,-73
2020/8/12,AUDUSD.hd01,-63,-103
2020/8/12,NZDUSD.hd01,-33,-73
2020/8/12,USDCHF.hd01,-73,-123
2020/8/12,EURCHF.hd01,-33,-83
2020/8/12,GBPCHF.hd01,-73,-103
2020/8/12,TRYJPY.hd01,-43,-103
