Effect date,Curreny pair,Swap long,Swap short
2020/8/4,USDJPY.hd01,-51,-111
2020/8/4,EURJPY.hd01,-41,-81
2020/8/4,GBPJPY.hd01,-81,-111
2020/8/4,AUDJPY.hd01,-31,-161
2020/8/4,NZDJPY.hd01,-41,-131
2020/8/4,ZARJPY.hd01,9,139
2020/8/4,CADJPY.hd01,9,129
2020/8/4,CHFJPY.hd01,19,139
2020/8/4,HKDJPY.hd01,19,139
2020/8/4,SGDJPY.hd01,-51,-111
2020/8/4,MXNJPY.hd01,-71,-131
2020/8/4,CNHJPY.hd01,59,89
2020/8/4,EURUSD.hd01,69,-161
2020/8/4,GBPUSD.hd01,-41,-81
2020/8/4,AUDUSD.hd01,-71,-111
2020/8/4,NZDUSD.hd01,-41,-81
2020/8/4,USDCHF.hd01,-81,-131
2020/8/4,EURCHF.hd01,-41,-91
2020/8/4,GBPCHF.hd01,-81,-111
2020/8/4,TRYJPY.hd01,-51,-111
