Effect date,Curreny pair,Swap long,Swap short
2020/8/9,USDJPY.hd01,-46,-106
2020/8/9,EURJPY.hd01,-36,-76
2020/8/9,GBPJPY.hd01,-76,-106
2020/8/9,AUDJPY.hd01,-26,-156
2020/8/9,NZDJPY.hd01,-36,-126
2020/8/9,ZARJPY.hd01,14,144
2020/8/9,CADJPY.hd01,14,134
2020/8/9,CHFJPY.hd01,24,144
2020/8/9,HKDJPY.hd01,24,144
2020/8/9,SGDJPY.hd01,-46,-106
2020/8/9,MXNJPY.hd01,-66,-126
2020/8/9,CNHJPY.hd01,64,94
2020/8/9,EURUSD.hd01,74,-156
2020/8/9,GBPUSD.hd01,-36,-76
2020/8/9,AUDUSD.hd01,-66,-106
2020/8/9,NZDUSD.hd01,-36,-76
2020/8/9,USDCHF.hd01,-76,-126
2020/8/9,EURCHF.hd01,-36,-86
2020/8/9,GBPCHF.hd01,-76,-106
2020/8/9,TRYJPY.hd01,-46,-106
