Effect date,Curreny pair,Swap long,Swap short
2020/8/11,USDJPY.hd01,-44,-104
2020/8/11,EURJPY.hd01,-34,-74
2020/8/11,GBPJPY.hd01,-74,-104
2020/8/11,AUDJPY.hd01,-24,-154
2020/8/11,NZDJPY.hd01,-34,-124
2020/8/11,ZARJPY.hd01,16,146
2020/8/11,CADJPY.hd01,16,136
2020/8/11,CHFJPY.hd01,26,146
2020/8/11,HKDJPY.hd01,26,146
2020/8/11,SGDJPY.hd01,-44,-104
2020/8/11,MXNJPY.hd01,-64,-124
2020/8/11,CNHJPY.hd01,66,96
2020/8/11,EURUSD.hd01,76,-154
2020/8/11,GBPUSD.hd01,-34,-74
2020/8/11,AUDUSD.hd01,-64,-104
2020/8/11,NZDUSD.hd01,-34,-74
2020/8/11,USDCHF.hd01,-74,-124
2020/8/11,EURCHF.hd01,-34,-84
2020/8/11,GBPCHF.hd01,-74,-104
2020/8/11,TRYJPY.hd01,-44,-104
