Effect date,Curreny pair,Swap long,Swap short
2020/8/10,USDJPY.hd01,-45,-105
2020/8/10,EURJPY.hd01,-35,-75
2020/8/10,GBPJPY.hd01,-75,-105
2020/8/10,AUDJPY.hd01,-25,-155
2020/8/10,NZDJPY.hd01,-35,-125
2020/8/10,ZARJPY.hd01,15,145
2020/8/10,CADJPY.hd01,15,135
2020/8/10,CHFJPY.hd01,25,145
2020/8/10,HKDJPY.hd01,25,145
2020/8/10,SGDJPY.hd01,-45,-105
2020/8/10,MXNJPY.hd01,-65,-125
2020/8/10,CNHJPY.hd01,65,95
2020/8/10,EURUSD.hd01,75,-155
2020/8/10,GBPUSD.hd01,-35,-75
2020/8/10,AUDUSD.hd01,-65,-105
2020/8/10,NZDUSD.hd01,-35,-75
2020/8/10,USDCHF.hd01,-75,-125
2020/8/10,EURCHF.hd01,-35,-85
2020/8/10,GBPCHF.hd01,-75,-105
2020/8/10,TRYJPY.hd01,-45,-105
