Effect date,Curreny pair,Swap long,Swap short
2020/8/3,USDJPY.hd01,-52,-112
2020/8/3,EURJPY.hd01,-42,-82
2020/8/3,GBPJPY.hd01,-82,-112
2020/8/3,AUDJPY.hd01,-32,-162
2020/8/3,NZDJPY.hd01,-42,-132
2020/8/3,ZARJPY.hd01,8,138
2020/8/3,CADJPY.hd01,8,128
2020/8/3,CHFJPY.hd01,18,138
2020/8/3,HKDJPY.hd01,18,138
2020/8/3,SGDJPY.hd01,-52,-112
2020/8/3,MXNJPY.hd01,-72,-132
2020/8/3,CNHJPY.hd01,58,88
2020/8/3,EURUSD.hd01,68,-162
2020/8/3,GBPUSD.hd01,-42,-82
2020/8/3,AUDUSD.hd01,-72,-112
2020/8/3,NZDUSD.hd01,-42,-82
2020/8/3,USDCHF.hd01,-82,-132
2020/8/3,EURCHF.hd01,-42,-92
2020/8/3,GBPCHF.hd01,-82,-112
2020/8/3,TRYJPY.hd01,-52,-112
