Effect date,Curreny pair,Swap long,Swap short
2020/8/2,USDJPY.hd01,-53,-113
2020/8/2,EURJPY.hd01,-43,-83
2020/8/2,GBPJPY.hd01,-83,-113
2020/8/2,AUDJPY.hd01,-33,-163
2020/8/2,NZDJPY.hd01,-43,-133
2020/8/2,ZARJPY.hd01,7,137
2020/8/2,CADJPY.hd01,7,127
2020/8/2,CHFJPY.hd01,17,137
2020/8/2,HKDJPY.hd01,17,137
2020/8/2,SGDJPY.hd01,-53,-113
2020/8/2,MXNJPY.hd01,-73,-133
2020/8/2,CNHJPY.hd01,57,87
2020/8/2,EURUSD.hd01,67,-163
2020/8/2,GBPUSD.hd01,-43,-83
2020/8/2,AUDUSD.hd01,-73,-113
2020/8/2,NZDUSD.hd01,-43,-83
2020/8/2,USDCHF.hd01,-83,-133
2020/8/2,EURCHF.hd01,-43,-93
2020/8/2,GBPCHF.hd01,-83,-113
2020/8/2,TRYJPY.hd01,-53,-113
