Effect date,Curreny pair,Swap long,Swap short
2020/9/1,USDJPY.hd01,-34,-94
2020/9/1,EURJPY.hd01,-24,-64
2020/9/1,GBPJPY.hd01,-64,-94
2020/9/1,AUDJPY.hd01,-14,-144
2020/9/1,NZDJPY.hd01,-24,-114
2020/9/1,ZARJPY.hd01,26,156
2020/9/1,CADJPY.hd01,26,146
2020/9/1,CHFJPY.hd01,36,156
2020/9/1,HKDJPY.hd01,36,156
2020/9/1,SGDJPY.hd01,-34,-94
2020/9/1,MXNJPY.hd01,-54,-114
2020/9/1,CNHJPY.hd01,76,106
2020/9/1,EURUSD.hd01,86,-144
2020/9/1,GBPUSD.hd01,-24,-64
2020/9/1,AUDUSD.hd01,-54,-94
2020/9/1,NZDUSD.hd01,-24,-64
2020/9/1,USDCHF.hd01,-64,-114
2020/9/1,EURCHF.hd01,-24,-74
2020/9/1,GBPCHF.hd01,-64,-94
2020/9/1,TRYJPY.hd01,-34,-94
